name,brand,family,release_date,influences,innovation_category,innovation_summary
Attention Is All You Need,Google Brain,Transformer,2017-06-12,,Core Transformer,Introduced the Transformer architecture with multi-head self-attention and positional encoding for parallel sequence modelling.
GPT-1,OpenAI,GPT,2018-06-11,Attention Is All You Need,Decoder-Only Pretraining,Applied decoder-only Transformer pretraining on BooksCorpus to enable zero-shot transfer.
BERT,Google AI,BERT,2018-10-11,Attention Is All You Need,Bidirectional Encoding,Pretrained bidirectional encoders with masked language modelling and next sentence prediction.
Transformer-XL,Google/CMU,Transformer-XL,2019-01-09,Attention Is All You Need,Long-Context Modelling,Added segment-level recurrence and relative positional encoding to extend transformer context windows.
GPT-2,OpenAI,GPT,2019-02-14,GPT-1,Frontier Scaling,Scaled decoder-only transformers on WebText to demonstrate zero-shot language capabilities.
XLNet,Google/CMU,XLNet,2019-06-19,Transformer-XL; BERT,Permutation Objectives,Blended autoregressive and autoencoding benefits with a permutation language modelling objective.
RoBERTa,Meta AI,BERT,2019-07-26,BERT,Optimised Masked LM,Optimised masked language modelling with larger batches, dynamic masking, and longer training schedules.
Megatron-LM,NVIDIA,Megatron,2019-09-24,GPT-2,Scaling Infrastructure,Demonstrated tensor and pipeline model parallelism for training hundred-billion parameter transformers.
ALBERT,Google/TTI,BERT,2019-09-26,BERT,Parameter Efficiency,Used cross-layer parameter sharing and factorised embeddings to reduce model size without losing accuracy.
T5,Google Research,T5,2019-10-24,Attention Is All You Need,Text-to-Text Transfer,Unified natural language tasks under a text-to-text paradigm with span corruption pretraining.
BART,Meta AI,BART,2019-10-25,Attention Is All You Need,Denoising Seq2Seq,Bridged encoder-decoder pretraining with denoising objectives for text generation and comprehension.
Meena,Google Research,Meena,2020-01-27,Attention Is All You Need,Dialogue Optimisation,Large-scale conversational model trained on social media chats with safety fine-tuning insights.
ELECTRA,Google Research,ELECTRA,2020-03-30,BERT,Discriminative Pretraining,Replaced masked language modelling with a replaced-token detection discriminator for sample-efficient learning.
GPT-3,OpenAI,GPT,2020-05-28,GPT-2; Megatron-LM,Frontier Scaling,Scaled GPT models to 175B parameters to highlight in-context learning and emergent capabilities.
Switch Transformer,Google Research,Switch Transformer,2021-01-11,T5,Sparse MoE Routing,Introduced single-expert routing to scale sparse mixture-of-experts models efficiently.
LaMDA,Google Research,LaMDA,2021-05-18,T5; Meena,Dialogue Optimisation,Optimised conversational transformers with safety fine-tuning and grounded responses.
Gopher,DeepMind,Gopher,2021-12-08,Transformer-XL; GPT-3,Data/Compute Scaling,Studied transformer scaling laws with extensive evaluation on long-form knowledge tasks.
GLaM,Google Research,GLaM,2021-12-13,Switch Transformer,Sparse MoE Routing,Scaled mixture-of-experts with hierarchical token routing across 1.2 trillion parameters.
InstructGPT,OpenAI,GPT,2022-01-26,GPT-3,Alignment via RLHF,Aligned large language models to follow instructions using reinforcement learning from human feedback.
Chinchilla,DeepMind,Gopher,2022-03-29,Gopher,Data/Compute Scaling,Showed that more training data with fewer parameters yields better performance at fixed compute budgets.
PaLM,Google Research,PaLM,2022-04-04,GLaM; Gopher,Frontier Scaling,Leveraged Pathways system and chain-of-thought prompting across 540B parameters.
UL2,Google Research,UL2,2022-04-12,T5,Text-to-Text Transfer,Used a mixture-of-denoisers objective to support multiple corruption schemes in unified pretraining.
OPT,Meta AI,OPT,2022-05-03,GPT-3; Megatron-LM,Open Reproduction,Released a reproducible GPT-3 class model with full training logs for open research.
BLOOM,BigScience,BLOOM,2022-07-12,GPT-3; Megatron-LM,Open Reproduction,Delivered an open multilingual 176B parameter transformer trained collaboratively via Megatron-DeepSpeed.
ChatGPT,OpenAI,GPT,2022-11-30,InstructGPT,Aligned Assistants,Productised RLHF-aligned GPT-3.5 to deliver instruction-following dialogue through chat interfaces.
Constitutional AI,Anthropic,Anthropic Alignment,2022-12-15,InstructGPT,Constitutional Alignment,Introduced self-critiquing alignment guided by explicit normative principles instead of human reward models.
LLaMA,Meta AI,LLaMA,2023-02-24,Chinchilla,Efficient Open Weights,Released efficient foundation models with grouped-query attention and smaller curated datasets.
GPT-4,OpenAI,GPT,2023-03-14,GPT-3; InstructGPT,Multimodal Foundation,Combined large-scale pretraining with RLHF and tool integration for text and vision capabilities.
Claude 1,Anthropic,Claude,2023-03-14,Constitutional AI,Constitutional Alignment,Applied constitutional AI techniques to produce a helpful and harmless assistant.
Baichuan-7B,Baichuan Intelligence,Baichuan,2023-06-15,LLaMA,Bilingual Foundation,Adapted LLaMA-style architecture with bilingual Chinese-English training and expanded vocabulary.
